NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
AG-FSTK03,2__FSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GBL01B,V__BGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL02E,V__EGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL03F,V__FGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL04M,V__MGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL05D,V__DGBLO001,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GBL06G,V__GGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL07N,V__NGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL08H,V__HGBLO001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL09B,V__BGBLO009,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0AE,V__EGBLO010,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0BE,V__EGBLO011,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0CE,V__EGBLO012,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0DN,V__NGBLO013,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0EN,V__NGBLO014,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0FM,V__MGBLO015,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0GM,V__MGBLO016,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0HM,V__MGBLO017,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0IA,V__AGBLO018,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0JP,V__PGBLO019,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0KB,V__BGBLO020,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-GBL0LB,V__BGBLO021,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GBL0MM,V__MGBLO022,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GBL0NN,V__NGBLO023,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GBL0OH,,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GBL0PE,,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GEDF01,2__GLOND001,Primary BMU,OTHER,BATTERY,BMU,Generation,,,,
AG-GEDF02,2__GLOND002,Primary BMU,OTHER,BATTERY,BMU,Generation,,53.597510031523576,-2.2950568698119973,7464.0
AG-GEDF03,2__GLOND003,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-GEDF04,2__GLOND004,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-GFLX01,2__GFLEX001,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-GFLX02,2__GFLEX002,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-GFLX03,2__GFLEX003,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-GFLX04,2__GFLEX004,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GLIM01,2__GANGE001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-GLIM02,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-GLIM03,,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,,
AG-GLIM04,,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,,
AG-GSMA02,2__GSMAR002,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-GSTK01,2__GSTAT001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-GSTK02,2__GSTAT002,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK03,2__GSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK04,2__GSTAT004,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK06,2__GSTAT006,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK07,2__GSTAT007,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK08,2__GSTAT008,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK09,2__GSTAT009,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-GSTK10,2__GSTAT010,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK11,2__GSTAT011,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-GSTK12,2__GSTAT012,Primary BMU,OTHER,GAS,BMU,Generation,,,,
